[2022-05-10 08:10:44] [info]  [10992] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-10 08:10:45] [info]  [10992] Running Service 'Tomcat9'...
[2022-05-10 08:10:45] [info]  [16136] Starting service...
[2022-05-10 08:10:48] [info]  [16136] Service started in 2898 milliseconds.
[2022-05-10 09:33:10] [info]  [12716] Stopping service...
[2022-05-10 09:33:11] [info]  [12716] Service stop thread completed.
[2022-05-10 09:33:11] [info]  [10992] Run service finished.
[2022-05-10 09:33:11] [info]  [10992] Apache Commons Daemon procrun finished.
[2022-05-10 09:33:27] [info]  [10212] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-10 09:33:27] [info]  [10212] Running Service 'Tomcat9'...
[2022-05-10 09:33:27] [info]  [ 8508] Starting service...
[2022-05-10 09:33:29] [info]  [ 8508] Service started in 2151 milliseconds.
[2022-05-10 09:37:36] [info]  [ 7720] Stopping service...
[2022-05-10 09:37:37] [info]  [ 7720] Service stop thread completed.
[2022-05-10 09:37:37] [info]  [10212] Run service finished.
[2022-05-10 09:37:37] [info]  [10212] Apache Commons Daemon procrun finished.
[2022-05-10 09:39:05] [info]  [ 4328] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-10 09:39:05] [info]  [ 4328] Running Service 'Tomcat9'...
[2022-05-10 09:39:05] [info]  [10604] Starting service...
[2022-05-10 09:39:07] [info]  [10604] Service started in 1391 milliseconds.
[2022-05-10 21:57:47] [info]  [ 8364] Console SHUTDOWN event signaled.
[2022-05-10 21:57:47] [info]  [ 8364] Stopping service...
[2022-05-10 21:57:49] [info]  [ 8364] Service stop thread completed.
[2022-05-10 21:57:49] [info]  [ 4328] Run service finished.
[2022-05-10 21:57:49] [info]  [ 4328] Apache Commons Daemon procrun finished.
